File Name,Start Time,End Time,Common Name,Scientific Name,Confidence
20230620_080000.wav,309.0,552.0,Engine Engine,Engine Engine,0.5927627056837081
20230620_080000.wav,552.0,597.0,Engine Engine,Engine Engine,0.6165296614170075
20230620_080000.wav,699.0,867.0,Engine Engine,Engine Engine,0.5084906220436096
20230620_080000.wav,867.0,1371.0,Engine Engine,Engine Engine,0.4883077085018158
20230620_080000.wav,1371.0,1428.0,Engine Engine,Engine Engine,0.6671416103839874
20230620_080000.wav,1443.0,1503.0,Engine Engine,Engine Engine,0.3922092765569687
