file,site,sample_rate
recover-20250127/UBNA_026/20250113_231000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250113_232000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250113_233000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250113_234000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250113_235000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_000000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_001000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_002000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_003000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_004000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_005000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_010000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_011000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_012000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_013000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_014000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_015000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_020000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_021000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_022000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_023000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_024000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_025000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_030000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_031000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_032000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_033000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_034000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_035000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_040000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_041000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_042000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_043000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_044000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_045000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_050000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_051000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_052000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_053000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_054000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_055000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_060000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_061000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_062000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_063000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_064000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_065000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_070000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_071000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_072000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_073000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_074000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_075000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_080000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_081000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_082000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_083000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_084000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_085000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_090000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_091000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_092000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_093000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_094000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_095000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_100000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_101000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_102000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_103000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_104000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_105000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_110000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_111000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_112000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_113000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_114000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_115000.WAV,Carp Pond,192000
