File Name,Start Time,End Time,Common Name,Scientific Name,Confidence
20240517_222000.wav,33.0,75.0,Song Sparrow,Melospiza melodia,0.37744076550006866
20240517_222000.wav,78.0,81.0,Cedar Waxwing,Bombycilla cedrorum,0.41223466396331787
20240517_222000.wav,87.0,225.0,Bushtit,Psaltriparus minimus,0.46656763056914013
20240517_222000.wav,225.0,228.0,Song Sparrow,Melospiza melodia,0.5190415382385254
20240517_222000.wav,228.0,237.0,Bushtit,Psaltriparus minimus,0.27294671535491943
20240517_222000.wav,243.0,249.0,Cedar Waxwing,Bombycilla cedrorum,0.33391959965229034
20240517_222000.wav,258.0,261.0,Bewick's Wren,Thryomanes bewickii,0.364267498254776
20240517_222000.wav,264.0,300.0,Cedar Waxwing,Bombycilla cedrorum,0.5922220349311829
