File Name,Start Time,End Time,Common Name,Scientific Name,Confidence
20240517_221000.wav,45.0,57.0,American Bullfrog (invasive),Lithobates catesbeianus,0.80630495150884
20240517_221000.wav,57.0,60.0,Wood Frog,Lithobates sylvaticus,0.7620163559913635
20240517_221000.wav,72.0,171.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8047288537025452
20240517_221000.wav,252.0,255.0,Wood Frog,Lithobates sylvaticus,0.792421281337738
20240517_221000.wav,279.0,282.0,American Bullfrog (invasive),Lithobates catesbeianus,0.9544440507888794
