Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Scientific Name	Confidence	File
95	Spectrogram 1	1	1218.0	1230.0	300	15000	American Bullfrog	American Bullfrog	0.4923	20230620_080000.wav
96	Spectrogram 1	1	1236.0	1239.0	300	15000	Pacific Tree	Pacific Tree	0.6287	20230620_080000.wav
97	Spectrogram 1	1	1239.0	1245.0	300	15000	American Bullfrog	American Bullfrog	0.6345	20230620_080000.wav
98	Spectrogram 1	1	1245.0	1251.0	300	15000	Pacific Tree	Pacific Tree	0.5564	20230620_080000.wav
99	Spectrogram 1	1	1248.0	1254.0	300	15000	American Bullfrog	American Bullfrog	0.4282	20230620_080000.wav
100	Spectrogram 1	1	1257.0	1272.0	300	15000	Pacific Tree	Pacific Tree	0.4524	20230620_080000.wav
101	Spectrogram 1	1	1272.0	1275.0	300	15000	American Bullfrog	American Bullfrog	0.4500	20230620_080000.wav
102	Spectrogram 1	1	1272.0	1275.0	300	15000	Pacific Tree	Pacific Tree	0.4396	20230620_080000.wav
103	Spectrogram 1	1	1275.0	1278.0	300	15000	American Bullfrog	American Bullfrog	0.4415	20230620_080000.wav
104	Spectrogram 1	1	1275.0	1281.0	300	15000	Pacific Tree	Pacific Tree	0.4190	20230620_080000.wav
105	Spectrogram 1	1	1281.0	1284.0	300	15000	American Bullfrog	American Bullfrog	0.4886	20230620_080000.wav
106	Spectrogram 1	1	1287.0	1311.0	300	15000	Pacific Tree	Pacific Tree	0.5578	20230620_080000.wav
107	Spectrogram 1	1	1311.0	1314.0	300	15000	American Bullfrog	American Bullfrog	0.4121	20230620_080000.wav
108	Spectrogram 1	1	1317.0	1323.0	300	15000	Pacific Tree	Pacific Tree	0.4769	20230620_080000.wav
109	Spectrogram 1	1	1323.0	1329.0	300	15000	American Bullfrog	American Bullfrog	0.4249	20230620_080000.wav
110	Spectrogram 1	1	1326.0	1329.0	300	15000	Pacific Tree	Pacific Tree	0.4092	20230620_080000.wav
111	Spectrogram 1	1	1332.0	1335.0	300	15000	American Bullfrog	American Bullfrog	0.4988	20230620_080000.wav
