File Name,Start Time,End Time,Common Name,Scientific Name,Confidence
20240517_222000.wav,18.0,36.0,Green Frog,Lithobates clamitans,0.8852506875991821
20240517_222000.wav,66.0,69.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8664389252662659
20240517_222000.wav,90.0,123.0,Pacific Tree Frog,Pseudacris regilla,0.8614147504170736
20240517_222000.wav,123.0,126.0,Green Frog,Lithobates clamitans,0.7042427062988281
20240517_222000.wav,150.0,153.0,American Bullfrog (invasive),Lithobates catesbeianus,0.9941856861114502
20240517_222000.wav,162.0,165.0,Northern Leopard Frog,Lithobates pipiens,0.8463333249092102
20240517_222000.wav,177.0,192.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8666133284568787
20240517_222000.wav,222.0,225.0,Pacific Tree Frog,Pseudacris regilla,0.9905315041542053
20240517_222000.wav,246.0,249.0,American Bullfrog (invasive),Lithobates catesbeianus,0.7966025471687317
20240517_222000.wav,255.0,258.0,Pacific Tree Frog,Pseudacris regilla,0.977749764919281
20240517_222000.wav,261.0,297.0,American Bullfrog (invasive),Lithobates catesbeianus,0.9146944284439087
