File Name,Start Time,End Time,Common Name,Scientific Name,Confidence
ranacascadae_californiaherps7.wav,0.0,39.0,Cascades Frog,Rana cascadae,0.9729592680931092
ranacascadae_californiaherps7.wav,39.0,60.0,Cascades Frog,Rana cascadae,0.8838948408762614
ranacascadae_californiaherps7.wav,57.0,60.0,Northern Red-Legged Frog,Rana aurora,0.9545170664787292
ranacascadae_californiaherps7.wav,60.0,66.0,Cascades Frog,Rana cascadae,0.9835702478885651
