File Name,Start Time,End Time,Common Name,Scientific Name,Confidence
20230620_080000.wav,3.0,87.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8330716888109843
20230620_080000.wav,105.0,108.0,Pacific Tree Frog,Pseudacris regilla,0.700224757194519
20230620_080000.wav,108.0,114.0,American Bullfrog (invasive),Lithobates catesbeianus,0.9307647347450256
20230620_080000.wav,120.0,123.0,Western Toad,Anaxyrus boreas,0.7304304838180542
20230620_080000.wav,129.0,411.0,American Bullfrog (invasive),Lithobates catesbeianus,0.7832752287387847
20230620_080000.wav,492.0,645.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8524134874343872
20230620_080000.wav,648.0,705.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8481383383274078
20230620_080000.wav,705.0,735.0,American Bullfrog (invasive),Lithobates catesbeianus,0.9532658815383911
20230620_080000.wav,735.0,807.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8704124748706817
20230620_080000.wav,813.0,1080.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8660611152648926
20230620_080000.wav,1173.0,1287.0,American Bullfrog (invasive),Lithobates catesbeianus,0.7715931460261345
20230620_080000.wav,1293.0,1296.0,Pacific Tree Frog,Pseudacris regilla,0.7538836598396301
20230620_080000.wav,1302.0,1386.0,American Bullfrog (invasive),Lithobates catesbeianus,0.9533955991268158
20230620_080000.wav,1386.0,1710.0,American Bullfrog (invasive),Lithobates catesbeianus,0.8502324998378754
20230620_080000.wav,1713.0,1791.0,American Bullfrog (invasive),Lithobates catesbeianus,0.7831368446350098
