File Name,Start Time,End Time,Common Name,Scientific Name,Confidence
20221017_183000.wav,0.0,15.0,American Bullfrog,American Bullfrog,0.6554228067398071
20221017_183000.wav,15.0,27.0,Wood Frog,Wood Frog,0.5068105260531107
20221017_183000.wav,33.0,36.0,Northern Leopard,Northern Leopard,0.4094879627227783
20221017_183000.wav,57.0,132.0,American Bullfrog,American Bullfrog,0.5111169934272766
20221017_183000.wav,138.0,180.0,American Bullfrog,American Bullfrog,0.6191781312227249
20221017_183000.wav,180.0,225.0,American Bullfrog,American Bullfrog,0.6685730748706393
20221017_183000.wav,228.0,231.0,Northern Leopard,Northern Leopard,0.6490619778633118
20221017_183000.wav,234.0,264.0,American Bullfrog,American Bullfrog,0.6790719777345657
20221017_183000.wav,288.0,291.0,American Bullfrog,American Bullfrog,0.42322733998298645
