Label,Count
Woodhouse's_Toad,108
Wood_Frog,500
Western_Toad,10
Pacific_Tree_Frog,500
Oregon_Spotted_Frog,5
Northern_Red-legged_Frog,13
Northern_Leopard_Frog,199
Great_Basin_Spadefoot,32
Columbia_Spotted_Frog,1
Coastal_Tailed_Frog,1
Cascades_Frog,1
American_Bullfrog_(Invasive),500
